NAALAD2	NAALAD2_rna-XM_015280387.2
MISP	MISP_rna-XM_015299995.2
Pou5f3	Pou5f3_rna-NM_001110178.1
UTS2RL	UTS2RL_rna-XM_004937745.3
ATP6V1C2	ATP6V1C2_rna-XM_025148941.1
HSPB9	HSPB9_rna-NM_001010842.2
TARDBP	TARDBP_ENSGALT00000004585.6
ABHD6	ABHD6_rna-XM_004944586.3
NUDT5	NUDT5_rna-NM_001278105.1
MKL2	MKL2_rna-XM_004945072.3
ANGPTL2	ANGPTL2_rna-NM_001277699.1
MAP3K7	MAP3K7_rna-XM_015284683.2
COQ5	COQ5_ENSGALT00000011635.3
AREL1	AREL1_ENSGALT00000016704.6
NAT9	NAT9_rna-XM_015295473.2
PIP5K1C	PIP5K1C_rna-NM_001319021.1
EGF	EGF_ENSGALT00000076720.2
AMMECR1L	AMMECR1L_rna-XM_015277184.2
DPH1	DPH1_rna-NM_001030716.2
DENND5A	DENND5A_rna-XM_015286470.2
PCYT1A	PCYT1A_rna-XM_422725.6
OSBPL9	OSBPL9_rna-XM_025152942.1
COIL	COIL_rna-XM_415654.6
AP1B1	AP1B1_rna-XM_004934468.3
NCAPH2	NCAPH2_rna-XM_015281559.2
CEP128	CEP128_rna-XM_025151096.1
RGS11	RGS11_rna-XM_015294617.2
XYLB	XYLB_rna-XM_418537.6
VTCN1L	VTCN1L_rna-XM_015300776.2
MYO1H	MYO1H_rna-XM_015275508.2
EGFL7	EGFL7_ENSGALT00000061354.2
CRB2	CRB2_rna-XM_004946010.3
XPO4	XPO4_rna-NM_001012947.2
TRIM29	TRIM29_rna-XM_025143301.1
DOCK10	DOCK10_rna-XM_025153516.1
MICU2	MICU2_ENSGALT00000027664.7
FBXO33	FBXO33_rna-XM_025150928.1
SMG6	SMG6_rna-XM_004946547.3
RNH1	RNH1_ENSGALT00000089734.2
WDR25	WDR25_rna-XM_025150905.1
NPNT	NPNT_rna-XM_015276574.2
OPHN1	OPHN1_rna-XM_015278327.1
CMTR1	CMTR1_ENSGALT00000016499.6
SEMA4D	SEMA4D_rna-XM_015280263.2
EVL	EVL_rna-XM_015287471.1
HIPK3	HIPK3_rna-XM_015286319.2
TMEM229B	TMEM229B_ENSGALT00000015455.5
CCDC141	CCDC141_rna-XM_025152522.1
ATF1	ATF1_rna-XM_004949717.3
SYK	SYK_ENSGALT00000024555.5
TTR	TTR_ENSGALT00000024434.5
GGA1	GGA1_ENSGALT00000062983.2
HIBCH	HIBCH_rna-NM_001031243.1
DIAPH2	DIAPH2_rna-NM_204210.1
CDHR3	CDHR3_rna-XM_025153658.1
FGF11	FGF11_rna-XM_025155580.1
CCDC92	CCDC92_ENSGALT00000101610.1
PLD4	PLD4_rna-XM_025150878.1
BET1L	BET1L_ENSGALT00000006633.5
GEN1	GEN1_rna-XM_004935779.3
BBOX1	BBOX1_rna-XM_004941332.3
C8H1ORF111	C8H1ORF111_rna-XM_004943152.3
GPR174	GPR174_rna-XM_025149544.1
PPP2R2C	PPP2R2C_rna-XM_003641254.4
C16orf72	C16orf72_rna-XM_015294583.2
INPP5B	INPP5B_rna-XM_015297776.2
CHRNA7L	CHRNA7L_rna-NM_205201.2
SCAPER	SCAPER_rna-XM_025154119.1
COL22A1	COL22A1_rna-XM_015283174.1
GRIN2A	GRIN2A_rna-XM_025155259.1
SLC38A6	SLC38A6_ENSGALT00000019409.6
GXYLT2	GXYLT2_rna-XM_015293229.2
ANO4	ANO4_rna-XM_015289630.2
CEP68	CEP68_rna-XM_015278091.2
SEC31A	SEC31A_rna-XM_015276263.2
CCSER2	CCSER2_rna-XM_015287969.2
CYP2J21	CYP2J21_rna-XM_004936846.3
TFPI2	TFPI2_rna-XM_015281937.2
ATP13A2	ATP13A2_rna-XM_015296906.2
GJC2	GJC2_rna-NM_001199581.1
PIP5K1B	PIP5K1B_rna-XM_015280285.2
PLEKHA6	PLEKHA6_rna-XM_004934912.3
MCRS1	MCRS1_ENSGALT00000088972.2
ANKRD55	ANKRD55_ENSGALT00000023730.7
MFSD2A	MFSD2A_rna-XM_417826.6
GAD2	GAD2_ENSGALT00000063903.2
MDN1	MDN1_ENSGALT00000087903.2
JADE3	JADE3_rna-XM_015277749.2
ARL11	ARL11_rna-XM_004938720.3
USP45	USP45_rna-XM_025148747.1
SEC31B	SEC31B_rna-XM_004942109.3
RSPH9	RSPH9_rna-NM_001277604.1
GLYATL3W	GLYATL3W_rna-XM_025151325.1
CENPC	CENPC_rna-NM_205051.1
GOLGB1	GOLGB1_rna-XM_015291011.2
ETFDH	ETFDH_rna-XM_015285303.2
PTK2B	PTK2B_rna-XM_015285222.2
BCCIP	BCCIP_rna-XM_423888.6
CTH	CTH_ENSGALT00000018492.6
SRXN1	SRXN1_ENSGALT00000097120.1
DYNC1LI2L	DYNC1LI2L_rna-XM_025151289.1
XAF1	XAF1_rna-XM_004946816.3
ABTB1	ABTB1_ENSGALT00000009651.4
TMEM181	TMEM181_rna-XM_025148883.1
CYFIP2	CYFIP2_rna-XM_025154982.1
ST6GALNAC6	ST6GALNAC6_rna-XM_015279704.2
SOX5	SOX5_rna-XM_015290209.2
TBL1X	TBL1X_rna-XM_025150901.1
CLGN	CLGN_rna-XM_004940945.3
GIT2	GIT2_ENSGALT00000106035.1
TEAD4	TEAD4_rna-NM_001306152.2
CNTN1	CNTN1_ENSGALT00000063605.2
C1QTNF4	C1QTNF4_rna-XM_025150891.1
UBE2L6	UBE2L6_rna-XM_003641332.4
EVX1	EVX1_ENSGALT00000066157.3
CLIP1	CLIP1_rna-XM_025155424.1
HDAC7	HDAC7_rna-XM_025145311.1
DOCK10	DOCK10_rna-XM_015277025.2
CNIH4	CNIH4_rna-XM_015283910.2
SLC38A7	SLC38A7_rna-XM_015279205.2
CFAP69	CFAP69_rna-XM_025148426.1
PARS2	PARS2_ENSGALT00000017547.6
SELENBP1	SELENBP1_rna-XM_025143405.1
GSTM2	GSTM2_ENSGALT00000077418.2
LPXN	LPXN_rna-XM_015286859.2
CCDC173L	CCDC173L_rna-XM_015289689.2
GAL3ST1	GAL3ST1_ENSGALT00000012622.6
ARF3	ARF3_rna-XM_015273181.2
C1H12ORF57	C1H12ORF57_rna-XM_015293562.1
HACD1	HACD1_rna-XM_015282000.2
TMEM181	TMEM181_rna-XM_419698.5
TMEM175	TMEM175_rna-NM_001006582.1
AK3	AK3_rna-XM_025144779.1
STAT4	STAT4_rna-XM_015289448.2
FAM131B	FAM131B_rna-XM_015294002.2
PITPNM2	PITPNM2_rna-XM_004945542.3
RALGAPA1	RALGAPA1_rna-XM_015287377.2
CDH23	CDH23_rna-XM_015288248.2
GIMAP8L1	GIMAP8L1_rna-XM_025147396.1
GRAMD2B	GRAMD2B_ENSGALT00000013404.6
SYTL2L	SYTL2L_rna-XM_015278616.2
SNX16	SNX16_rna-XM_015282794.2
TMEM251	TMEM251_ENSGALT00000107325.1
RARS2	RARS2_rna-XM_025148758.1
MAFK	MAFK_rna-NM_204756.1
RAB11FIP4	RAB11FIP4_rna-XM_025141763.1
ST5	ST5_rna-XM_015286489.2
PRRG1	PRRG1_ENSGALT00000026229.6
PRKD3	PRKD3_rna-XM_015283746.2
TWIST1	TWIST1_rna-NM_204739.1
SEPT7	SEPT7_rna-XM_015281549.2
HPCAL1	HPCAL1_ENSGALT00000100058.1
ADAM5P	ADAM5P_rna-XM_025151976.1
ELMSAN1	ELMSAN1_rna-XM_015287096.2
NR4A3	NR4A3_rna-XM_015282405.2
CADPS2	CADPS2_rna-XM_025153987.1
KLF11	KLF11_ENSGALT00000026523.6
MROH2BL13	MROH2BL13_rna-XM_025145125.1
SAP130	SAP130_ENSGALT00000003221.6
ID2	ID2_ENSGALT00000079911.3
RABGAP1	RABGAP1_rna-XM_015279575.2
RPS14	RPS14_ENSGALT00000089461.2
COA4	COA4_ENSGALT00000105487.1
ZYG11B	ZYG11B_ENSGALT00000017315.6
NOX5	NOX5_rna-XM_025154111.1
PIK3R1	PIK3R1_ENSGALT00000096069.1
KLF12	KLF12_ENSGALT00000103486.1
NT5C3B	NT5C3B_rna-NM_001006334.1
PAX6	PAX6_rna-XM_025150604.1
CACNA1D	CACNA1D_rna-XM_015292995.2
PTGER2	PTGER2_rna-NM_001083365.1
REV1	REV1_rna-NM_001030811.2
MAP4	MAP4_rna-XM_015281157.2
UNC13B	UNC13B_rna-XM_025144851.1
QKI	QKI_rna-NM_204310.2
PQLC3	PQLC3_rna-XM_419953.4
CBFA2T3	CBFA2T3_rna-XM_025154189.1
LAMB4	LAMB4_rna-XM_025146638.1
TFAM	TFAM_rna-NM_204100.1
ZMYND19	ZMYND19_ENSGALT00000014303.5
DNM1	DNM1_rna-XM_025141433.1
TPK1	TPK1_rna-XM_015275904.2
TNFRSF8	TNFRSF8_rna-XM_015296816.2
MAST2	MAST2_rna-XM_015291257.2
CCDC77	CCDC77_rna-XM_025141597.1
TBC1D22B	TBC1D22B_rna-XM_004934806.3
PNN	PNN_rna-XM_421253.5
THG1L	THG1L_ENSGALT00000005910.5
ARHGDIA	ARHGDIA_ENSGALT00000013753.6
FRMD5	FRMD5_rna-XM_413944.6
PMEPA1	PMEPA1_rna-NM_001031492.1
SLC7A9	SLC7A9_rna-NM_001199133.1
ATP1B4	ATP1B4_rna-NM_001044651.1
SATB2	SATB2_ENSGALT00000045425.3
POT1	POT1_rna-XM_025147065.1
DYNLL2	DYNLL2_rna-NM_001302156.1
RAB33A	RAB33A_ENSGALT00000040577.4
SLC39A13	SLC39A13_rna-XM_015287013.1
MPPED1	MPPED1_rna-XM_015291238.2
TFAP2A	TFAP2A_rna-XM_015275847.2
SPEF2	SPEF2_rna-XM_025144816.1
SLC35B2	SLC35B2_rna-XM_015283784.2
MSI2	MSI2_rna-XM_015296182.2
TMEM206	TMEM206_ENSGALT00000015970.6
AGAP3	AGAP3_rna-XM_025147378.1
ARL4C	ARL4C_ENSGALT00000104939.1
TBX5	TBX5_rna-NM_204173.1
BUD13	BUD13_rna-XM_025143215.1
P2RX5	P2RX5_rna-XM_025141897.1
WARS2	WARS2_rna-XM_025151944.1
SLC25A12	SLC25A12_rna-XM_025152611.1
HNF4A	HNF4A_rna-XM_025142196.1
SPAST	SPAST_rna-XM_015283731.2
POU6F1	POU6F1_ENSGALT00000078466.2
AFAP1L2	AFAP1L2_ENSGALT00000093954.1
DDX17	DDX17_rna-XM_416260.6
KMT2E	KMT2E_ENSGALT00000013259.6
MELK	MELK_rna-XM_015280794.2
IL6	IL6_rna-XM_015281283.2
ETS1	ETS1_rna-XM_015297969.2
SH3GLB2	SH3GLB2_rna-XM_015279478.2
ADAM11	ADAM11_ENSGALT00000093777.1
CCNT1	CCNT1_rna-XM_015273672.1
ELAVL1	ELAVL1_rna-XM_025144245.1
PPFIBP2	PPFIBP2_rna-XM_015286405.1
OXNAD1	OXNAD1_rna-XM_015281481.2
CASP1	CASP1_rna-XM_003642384.4
ARL6	ARL6_rna-XM_025149357.1
BCL10	BCL10_rna-NM_001201487.2
ASPN	ASPN_ENSGALT00000007519.6
ZC3H12D	ZC3H12D_rna-XM_025149064.1
SNRPC	SNRPC_rna-XM_004935044.3
OGG1	OGG1_rna-XM_015293141.2
GOLPH3L	GOLPH3L_rna-XM_025143520.1
MFSD4A	MFSD4A_ENSGALT00000000983.6
PLCD3	PLCD3_rna-XM_015299274.2
RNF24	RNF24_rna-XM_015286033.2
MFSD10	MFSD10_rna-XM_025150317.1
CEP120	CEP120_ENSGALT00000103841.1
CEP152	CEP152_rna-XM_025154031.1
PQLC1	PQLC1_rna-XM_025147631.1
BCAS3	BCAS3_rna-XM_004946729.3
SEC24D	SEC24D_rna-XM_004941242.3
C20H20ORF85	C20H20ORF85_rna-XM_417493.6
ANKRD13A	ANKRD13A_ENSGALT00000078136.3
TFPI	TFPI_rna-XM_015289192.2
ERN1	ERN1_rna-XM_025141604.1
SENP7	SENP7_rna-XM_001232522.5
GTDC1	GTDC1_rna-XM_025152218.1
EMC7	EMC7_ENSGALT00000015691.6
RPH3AL	RPH3AL_rna-XM_004946702.3
BDH1B	BDH1B_rna-XM_422703.5
SDCBP	SDCBP_rna-NM_001031024.1
GLI2	GLI2_rna-NM_001271901.1
NKTR	NKTR_ENSGALT00000053748.2
CGREF1	CGREF1_rna-XM_015285033.2
NR3C2	NR3C2_rna-XM_015276101.2
TMEM200A	TMEM200A_rna-XM_025149188.1
AGXT	AGXT_ENSGALT00000033625.5
WTAP	WTAP_rna-XM_015284316.2
ARHGAP27	ARHGAP27_rna-XM_025144002.1
AGTPBP1	AGTPBP1_rna-XM_025144742.1
RPH3AL	RPH3AL_rna-XM_004946705.3
GMIP	GMIP_rna-XM_025145745.1
CHST10	CHST10_rna-XM_015277674.2
SNW1	SNW1_rna-XM_421294.6
GULP1	GULP1_rna-XM_421848.6
CAMK2G	CAMK2G_rna-XM_015288318.2
STAU2	STAU2_rna-XM_015282782.2
MBNL3	MBNL3_rna-XM_015278249.2
ATRIP	ATRIP_ENSGALT00000078934.2
IL1RAP	IL1RAP_rna-XM_025153484.1
U2SURP	U2SURP_ENSGALT00000004113.6
FRY	FRY_rna-XM_015278600.2
SASH1	SASH1_rna-XM_025149369.1
LMBRD1	LMBRD1_rna-XM_015284746.2
CKMT1A	CKMT1A_ENSGALT00000013600.6
TMC1	TMC1_rna-NM_001006580.1
PRKG2	PRKG2_rna-XM_015276514.2
POP5	POP5_rna-XM_004934385.3
CCDC61	CCDC61_rna-XM_015276944.1
OSTM1	OSTM1_rna-NM_001031077.1
ASNS	ASNS_ENSGALT00000060536.2
LRWD1	LRWD1_rna-XM_015295999.2
ITGB3BP	ITGB3BP_rna-NM_001044658.2
C8G	C8G_rna-XM_025141428.1
CLSTN3	CLSTN3_ENSGALT00000059699.2
POLR2H	POLR2H_ENSGALT00000013907.6
ZNF302	ZNF302_rna-XM_025141569.1
HLX	HLX_rna-XM_015283902.2
FAM65A	FAM65A_rna-XM_015279174.2
ACYP2	ACYP2_rna-XM_025148627.1
IGSF21	IGSF21_rna-XM_025142733.1
DPP8	DPP8_ENSGALT00000047741.2
MMRN1	MMRN1_rna-XM_015276601.1
IQSEC1	IQSEC1_rna-XM_015293456.2
PCBP3	PCBP3_rna-XM_003641559.4
SMIM14	SMIM14_rna-XM_025149694.1
REPS2	REPS2_rna-XM_015273117.2
GTF2H5	GTF2H5_ENSGALT00000057922.2
UPP1	UPP1_rna-XM_025147726.1
ANK3	ANK3_rna-XM_025151495.1
GRAP2	GRAP2_ENSGALT00000098529.1
CPA6	CPA6_rna-NM_001006344.1
FBN2	FBN2_rna-XM_424715.6
S100A9	S100A9_rna-NM_001305151.1
POF1B	POF1B_rna-XM_015278508.2
EP400	EP400_rna-XM_025155617.1
EFR3B	EFR3B_rna-XM_025149150.1
TCF7L2	TCF7L2_rna-NM_001206510.3
PHF3	PHF3_rna-XM_015284849.2
KIF1A	KIF1A_rna-XM_025153554.1
CALCRL	CALCRL_ENSGALT00000004147.6
ZWILCH	ZWILCH_rna-XM_413922.5
SENP7	SENP7_rna-XM_004938267.3
UBOX5	UBOX5_rna-XM_015286030.2
SUPT7L	SUPT7L_ENSGALT00000016329.6
H2AFY	H2AFY_rna-XM_025154812.1
CFAP20	CFAP20_ENSGALT00000079070.2
FASTKD1	FASTKD1_rna-XM_015289688.2
ADCY7	ADCY7_rna-XM_015292405.2
SCRN1	SCRN1_rna-XM_015281821.2
JAK2	JAK2_rna-XM_015280060.2
FNBP1	FNBP1_rna-XM_025141352.1
TICRR	TICRR_ENSGALT00000010711.7
MED1	MED1_ENSGALT00000002623.6
ABI3BP	ABI3BP_rna-XM_015296948.2
MEX3A	MEX3A_rna-XM_015298339.2
USP36	USP36_rna-XM_015295573.2
NELFE	NELFE_rna-XM_015298767.2
PDE1A	PDE1A_rna-XM_004942685.3
EBF1	EBF1_rna-XM_015293739.2
FCN2	FCN2_rna-XM_015279604.2
CDC27	CDC27_rna-XM_015299327.2
CCNT2	CCNT2_rna-XM_025152358.1
PCNP	PCNP_rna-XM_025149296.1
PRRC2B	PRRC2B_rna-XM_025141513.1
PTK2B	PTK2B_rna-XM_025149124.1
TTC19	TTC19_rna-XM_025141999.1
ATP5S	ATP5S_rna-XM_015276734.2
SPHKAP	SPHKAP_rna-XM_015276891.1
GZF1	GZF1_rna-XM_025148634.1
TMEM237	TMEM237_rna-XM_004942616.3
ATL2	ATL2_rna-XM_015283569.2
KDM8	KDM8_ENSGALT00000010182.6
SLC23A3	SLC23A3_rna-XM_015290082.2
TSPAN9	TSPAN9_ENSGALT00000023174.6
CLEC18B	CLEC18B_rna-XM_004944096.3
PHF20L1	PHF20L1_rna-XM_025147129.1
TBXA2R	TBXA2R_ENSGALT00000047457.2
MAGI2	MAGI2_rna-XM_015275746.2
PPFIBP2	PPFIBP2_rna-XM_015286407.2
SYT8	SYT8_ENSGALT00000010657.6
SPECC1	SPECC1_rna-XM_004946652.3
UNC80	UNC80_ENSGALT00000079083.2
SPECC1L	SPECC1L_rna-XM_015275322.2
TLL2	TLL2_rna-XM_025151862.1
ACSL4	ACSL4_rna-XM_004940809.3
RFC5	RFC5_rna-XM_015294887.2
PCBP3	PCBP3_rna-XM_004942536.3
SPDL1	SPDL1_rna-XM_025154966.1
ELOVL7	ELOVL7_rna-XM_015277347.2
BST1	BST1_rna-XM_015285754.2
DEGS1	DEGS1_ENSGALT00000015194.5
SGTA	SGTA_rna-XM_015299941.2
RBM6	RBM6_ENSGALT00000048024.2
SPTSSB	SPTSSB_rna-NM_001302113.1
NCOR2	NCOR2_rna-XM_025155633.1
GHRL	GHRL_rna-NM_001001131.1
KIZ	KIZ_rna-XM_015283363.2
HNRNPM	HNRNPM_ENSGALT00000000510.5
IFT43	IFT43_rna-XM_015287705.1
CCSER2	CCSER2_rna-XM_015287968.2
IRS1	IRS1_rna-XM_015277004.2
geneid-LOC112529971	geneid-LOC112529971_id-LOC112529971
NCOA1	NCOA1_ENSGALT00000048236.2
RPS6KL1	RPS6KL1_rna-XM_015287690.2
MROH2BL23	MROH2BL23_rna-XM_025146247.1
SLCO1B3	SLCO1B3_ENSGALT00000096633.1
PECAM1	PECAM1_rna-XM_025141757.1
TNIP1	TNIP1_rna-XM_004944944.2
GLB1L	GLB1L_ENSGALT00000018482.6
STRBP	STRBP_rna-XM_015279427.2
IARS2	IARS2_rna-NM_001006397.1
DPF3	DPF3_rna-XM_025150555.1
IL2RB	IL2RB_ENSGALT00000020381.5
NFATC3	NFATC3_ENSGALT00000075817.2
PPFIBP2	PPFIBP2_rna-XM_025151027.1
SIGIRR	SIGIRR_rna-XM_025150654.1
STX2	STX2_ENSGALT00000078399.2
CDK20	CDK20_ENSGALT00000105200.1
HES4	HES4_rna-NM_204472.3
HCK	HCK_rna-XM_015296450.2
EXOC7	EXOC7_rna-XM_015295158.2
GPR135	GPR135_ENSGALT00000105074.1
CPO	CPO_rna-XM_421950.6
PTPRD	PTPRD_rna-XM_025145220.1
SH3PXD2A	SH3PXD2A_rna-XM_421741.6
RPL14	RPL14_ENSGALT00000084413.2
GAB1	GAB1_rna-XM_420422.6
EDMTF4	EDMTF4_rna-XM_015298539.1
NCAPD2	NCAPD2_rna-XM_025149148.1
KIF13A	KIF13A_rna-XM_015275955.2
RIMS1	RIMS1_rna-XM_025148999.1
AMPD1	AMPD1_rna-XM_003642728.4
PSMB7	PSMB7_ENSGALT00000001657.6
ENAH	ENAH_rna-XM_025148478.1
CCDC88A	CCDC88A_rna-XM_004940104.3
LRRC42	LRRC42_rna-XM_422489.6
ARHGEF11	ARHGEF11_ENSGALT00000059522.2
DNTTIP1	DNTTIP1_rna-XM_015296572.2
PTGES2	PTGES2_ENSGALT00000067893.2
SPOPL	SPOPL_rna-XM_422144.6
CIB2	CIB2_rna-XM_004943722.3
LINGO2	LINGO2_rna-XM_025144937.1
LCA5	LCA5_rna-XM_004940421.3
SPATS2L	SPATS2L_ENSGALT00000013241.6
GPR176	GPR176_rna-XM_004941723.3
CACTIN	CACTIN_rna-XM_418192.6
TTC24	TTC24_rna-XM_025143533.1
WNT7B	WNT7B_rna-NM_001171593.1
NUTF2	NUTF2_ENSGALT00000076906.2
FBLN2	FBLN2_rna-XM_015293443.2
ARFIP2	ARFIP2_rna-XM_015280929.2
ADAMTS4	ADAMTS4_rna-XM_015280054.2
CYP2C45	CYP2C45_rna-NM_001001752.1
TNNT1	TNNT1_rna-NM_205114.1
TTC6	TTC6_rna-XM_025151245.1
FUCA2	FUCA2_ENSGALT00000022368.6
GPR146	GPR146_rna-NM_001277532.2
KIAA1958	KIAA1958_rna-XM_025144865.1
CD247	CD247_rna-NM_206879.1
FAM65B	FAM65B_rna-XM_025147283.1
TRIM9	TRIM9_rna-XM_015276756.2
RAB11FIP1	RAB11FIP1_rna-XM_015297427.2
GRIP2	GRIP2_rna-XM_025154656.1
ELOVL4	ELOVL4_rna-XM_015284630.2
TSPO	TSPO_rna-XM_015290498.1
ABI3BP	ABI3BP_rna-XM_015297073.2
EIF2S2	EIF2S2_ENSGALT00000067846.2
PIRT	PIRT_ENSGALT00000106998.1
NFYA	NFYA_rna-XM_015298937.2
ELAVL4	ELAVL4_rna-XM_015290954.2
ACSL4	ACSL4_rna-XM_420317.6
HOXA7	HOXA7_ENSGALT00000089091.2
JPH2	JPH2_rna-XM_025146529.1_potentialNMD
MARK1	MARK1_rna-XM_004935312.3
STK31	STK31_rna-XM_025147425.1
RAG2	RAG2_rna-XM_025150703.1
MAP4	MAP4_rna-XM_015281164.2
ARPC2	ARPC2_rna-XM_426598.6
RTKN2	RTKN2_rna-XM_025151531.1
CSRNP3	CSRNP3_rna-XM_025152652.1
ACADSB	ACADSB_rna-NM_001031240.1
NINL	NINL_rna-XM_015283552.2_potentialNMD
TPM2	TPM2_rna-XM_015277264.2
GREB1	GREB1_ENSGALT00000026546.7
PTPRD	PTPRD_rna-XM_025145227.1
SPG7	SPG7_ENSGALT00000045099.4
CYB561A3	CYB561A3_rna-XM_015286082.2
ZNF384	ZNF384_rna-XM_025151606.1
SPTLC2	SPTLC2_rna-NM_001006483.2
PAIP2	PAIP2_rna-XM_025154840.1
C14H7ORF62	C14H7ORF62_rna-XM_025155240.1
CD72	CD72_rna-NM_205052.1
DHX30	DHX30_rna-XM_015281063.2
USP24	USP24_rna-XM_015291187.2
CIRBP	CIRBP_ENSGALT00000093839.1
HDAC7	HDAC7_ENSGALT00000097050.1
ADAL	ADAL_ENSGALT00000039368.3
SBF2	SBF2_rna-XM_015286382.2
SOX5	SOX5_rna-XM_025148952.1
ANAPC10	ANAPC10_rna-NM_001008467.1
RTN4R	RTN4R_ENSGALT00000012536.6
NPHP4	NPHP4_rna-XM_015297060.2
RHOBTB1	RHOBTB1_rna-XM_025151548.1
SLC25A47	SLC25A47_rna-XM_015287786.2
ADSL	ADSL_ENSGALT00000019639.4
SLC6A2	SLC6A2_ENSGALT00000051007.2
LRRC8D	LRRC8D_rna-XM_422352.6
NUPL2	NUPL2_rna-NM_001030984.1
ITM2A	ITM2A_rna-NM_001012571.1
CSNK1G1	CSNK1G1_ENSGALT00000094686.1
SELENOU	SELENOU_rna-NM_001193519.2
DLC1	DLC1_rna-XM_420693.6
TYSND1	TYSND1_rna-XM_004942040.3
PHLDB1	PHLDB1_rna-XM_025143381.1
JMJD7	JMJD7_rna-NM_001114659.1
ALDH1L2	ALDH1L2_rna-XM_416314.6
SNRNP25	SNRNP25_rna-XM_015294611.1
TEX9	TEX9_rna-XM_025154102.1
MAST4	MAST4_rna-XM_004937307.3
RUNX1T1	RUNX1T1_rna-XM_015282774.2
JUP	JUP_ENSGALT00000028102.4
GLI1	GLI1_rna-XM_025145279.1
UBE2R2	UBE2R2_ENSGALT00000096825.1
XDH	XDH_rna-XM_025148548.1
C7H21orf58	C7H21orf58_rna-XM_015289235.2
ODF2L	ODF2L_rna-XM_025152968.1
NCAPG	NCAPG_rna-XM_025150356.1
KLHDC8A	KLHDC8A_rna-XM_015299083.2
GSTAL3	GSTAL3_rna-XM_015284821.2
SLC4A4	SLC4A4_rna-XM_025150084.1
SAMD4B	SAMD4B_ENSGALT00000073276.2
COBL	COBL_rna-XM_015282312.2
GUCY1B4	GUCY1B4_rna-XM_025153727.1
PPFIBP2	PPFIBP2_rna-XM_025151032.1
SBF1	SBF1_ENSGALT00000064156.2
FBLN1	FBLN1_rna-NM_204165.1
PDP1	PDP1_rna-NM_001199910.1
DAGLA	DAGLA_rna-XM_015286097.2_shortIntron
ANKZF1	ANKZF1_rna-XM_001232759.5
OVCH2	OVCH2_rna-XM_025151047.1
B3GALNT1	B3GALNT1_rna-XM_025153501.1
PPP1R3A	PPP1R3A_ENSGALT00000088828.2
ZNF512B	ZNF512B_rna-XM_015296429.2
EPT1L	EPT1L_rna-XM_015282646.2
LATS1	LATS1_rna-XM_025149313.1
NCKAP5	NCKAP5_rna-XM_015289934.1
ECHDC1	ECHDC1_rna-XM_015284438.2
ARMC1	ARMC1_rna-XM_025147336.1
ELAVL4	ELAVL4_rna-XM_015290952.2
CAAP1	CAAP1_ENSGALT00000002709.6
IL1RAP	IL1RAP_rna-XM_422719.5
MTMR4	MTMR4_rna-XM_015295931.2
JAKMIP2	JAKMIP2_ENSGALT00000012278.6
SMPD1	SMPD1_ENSGALT00000092289.1
OLFM2	OLFM2_rna-XM_025145713.1
STEAP4	STEAP4_ENSGALT00000100131.1
FOXP1	FOXP1_rna-XM_025154492.1
TC2N	TC2N_rna-XM_025151150.1
ASF1A	ASF1A_ENSGALT00000073491.2
MMD	MMD_rna-XM_025141598.1
TMEM192	TMEM192_rna-XM_025150173.1
PRDM8	PRDM8_rna-XM_015276522.2
FAM149A	FAM149A_rna-XM_015285569.2
CDK7	CDK7_ENSGALT00000023876.6
VWA9	VWA9_rna-NM_001005825.1
BIRC6	BIRC6_rna-XM_015283760.2
TNFAIP2	TNFAIP2_rna-XM_015287936.1
FBLIM1	FBLIM1_rna-XM_025142662.1
CAMTA1	CAMTA1_rna-XM_025142698.1
PAX5	PAX5_rna-XM_025144636.1
CSPG5	CSPG5_rna-NM_204719.1
GRM1	GRM1_rna-XM_015284287.2
IFNAR1	IFNAR1_ENSGALT00000064880.2
FAM65C	FAM65C_rna-XM_015296510.2
PXN	PXN_rna-XM_015275211.2
ID1	ID1_ENSGALT00000052019.3
NUMB	NUMB_rna-XM_015286935.2
SLC5A11	SLC5A11_rna-XM_015294474.2
SGF29	SGF29_ENSGALT00000079423.2
PLD5	PLD5_rna-XM_015283951.2
CECR1	CECR1_rna-XM_015285839.2
RGS14	RGS14_ENSGALT00000082216.2
RSPO4	RSPO4_rna-XM_004947142.3
SLC6A17	SLC6A17_rna-XM_015299149.2
PLCG1	PLCG1_rna-XM_025142414.1
METTL6	METTL6_ENSGALT00000102095.1
NTMT1	NTMT1_ENSGALT00000085663.2
SLC25A26	SLC25A26_rna-XM_015293112.2
LLGL2	LLGL2_rna-XM_025141658.1
UHRF1BP1L	UHRF1BP1L_rna-XM_025154908.1
MAD1L1	MAD1L1_rna-XM_004945136.3
ASCL1	ASCL1_ENSGALT00000069263.2
WDYHV1	WDYHV1_ENSGALT00000065247.2
SPIN1Z	SPIN1Z_rna-XM_015280239.2
HOXB3	HOXB3_ENSGALT00000056683.2
CASK	CASK_rna-XM_015301639.2
C2CD2L	C2CD2L_rna-XM_025143192.1
ATP6V0A1	ATP6V0A1_rna-XM_015299584.2
PARP9	PARP9_ENSGALT00000083500.2
STS	STS_rna-XM_004938422.3
LYZ	LYZ_rna-NM_205281.1
NUP153	NUP153_ENSGALT00000063073.3
SMTNL2	SMTNL2_rna-XM_025142110.1
SIK2	SIK2_rna-XM_015298072.2
KMT2C	KMT2C_rna-XM_015281220.2
CD274	CD274_rna-XM_025145074.1
